	gene_name	gene_id
139	MLP43	AT1G70890
140	AT2G05540	AT2G05540
141	MSRB6	AT4G04840
142	AT5G55620	AT5G55620
143	LTP7	AT2G15050
144	STR15	AT4G35770
145	AT1G18060	AT1G18060
146	AT4G28025	AT4G28025
147	AT3G56290	AT3G56290
148	AT5G19190	AT5G19190
149	AT3G55240	AT3G55240
150	AT4G14020	AT4G14020
151	GRXS11	AT1G06830
152	ATRL6	AT1G75250
153	ACR9	AT2G39570
154	PI	AT5G20240
155	AT5G58570	AT5G58570
156	AT1G62510	AT1G62510
157	AT5G56100	AT5G56100
158	GASA9	AT1G22690
159	DIR1	AT5G48485
160	ATTI2	AT2G43520
161	AT5G25840	AT5G25840
162	FAO3	AT3G23410
163	HTA6	AT5G59870
164	AT3G03270	AT3G03270
165	JAL34	AT3G16460
166	AT5G26280	AT5G26280
167	ML3	AT5G23820
168	JAL22	AT2G39310
169	GLL23	AT1G54010
170	PHT1-4	AT2G38940
171	AT3G16660	AT3G16660
172	PUP1	AT1G28230
173	AT3G10120	AT3G10120
174	DIR11	AT1G22900
175	AT2G26355	AT2G26355
176	CYP81F1	AT4G37430
177	AT5G66440	AT5G66440
178	HIPP20	AT1G71050
179	VQ25	AT3G58000
180	LSH1	AT5G28490
181	AT1G22630	AT1G22630
182	NEET	AT5G51720
183	PNSL2	AT1G14150
184	ndhU	AT5G21430
185	PNSL4	AT4G39710
186	MSRB5	AT4G04830
187	BZIP9	AT5G24800
188	C/VIF1	AT1G47960
189	ACA1	AT3G52720
190	PDCB1	AT5G61130
191	AT1G25230	AT1G25230
192	PGL2	AT3G49360
193	AT1G12010	AT1G12010
194	THA2	AT3G04520
195	PCFS1	AT1G66500
196	AT5G65300	AT5G65300
197	AT1G05575	AT1G05575
198	AT2G31945	AT2G31945
199	ERF098	AT3G23230
200	AT3G45160	AT3G45160
201	IAA28	AT5G25890
202	AT3G18560	AT3G18560
203	SCRL7	AT1G60989
204	GDU4	AT2G24762
205	AT4G24350	AT4G24350
206	ACT	AT5G61160
207	ERF094	AT1G06160
208	SIB2	AT2G41180
209	ATL80	AT1G20823
210	ERF018	AT1G74930
211	ATGPAT3	AT4G01950
212	DREB1C	AT4G25470
213	AT5G28630	AT5G28630
214	AT1G69900	AT1G69900
215	SCRM	AT3G26744
216	AT2G20110	AT2G20110
217	TCX3	AT3G22760
218	TCX2	AT4G14770
219	AT3G51470	AT3G51470
220	E2F3	AT2G36010
221	SOG1	AT1G25580
222	UGT75D1	AT4G15550
223	TIFY 5B	AT2G34600
224	RGLG1	AT3G01650
225	MAPKKK21	AT4G36950
226	NDR1	AT3G20600
227	LSD1	AT4G20380
228	SRG1	AT1G17020
229	IRX7	AT2G28110
230	MPK5	AT4G11330
231	AT1G04280	AT1G04280
232	MAPKKK19	AT5G67080
233	AT3G10320	AT3G10320
234	AT3G50280	AT3G50280
235	RPS4	AT5G45250
236	WNK11	AT5G55560
237	RKF3	AT2G48010
238	PEP3	AT5G64905
239	MKK6	AT5G56580
240	NFYA8	AT1G17590
241	AT4G20000	AT4G20000
242	AT1G56145	AT1G56145
243	MPT2	AT3G48850
244	INT2	AT1G30220
245	BRL1	AT1G55610
246	RABA1E	AT4G18430
247	AT1G33420	AT1G33420
248	PEPR2	AT1G17750
249	UGT76E4	AT3G46690
250	BON3	AT1G08860
251	AGO3	AT1G31290
